,TI,EN,TI_tokenized,EN_tokenized
1672,ንደቅኹም ዚዝርፉ፡ ንማልኩምውን ዜጥፍኡ፡ ንቚጽርኹም ድማ ዜውሕዱ ኣራዊት መሮር ክሰደልኩም እየ፡ መገድኹም ከኣ ይባድም።,"I will send the wild animals among you, which will rob you of your children, destroy your livestock, and make you few in number; and your roads will become desolate.","['ንደቅኹም', 'ዚዝርፉ', 'ንማልኩምውን', 'ዜጥፍኡ', 'ንቚጽርኹም', 'ድማ', 'ዜውሕዱ', 'ኣራዊት', 'መሮር', 'ክሰደልኩም', 'እየ', 'መገድኹም', 'ከኣ', 'ይባድም']","['i', 'will', 'send', 'the', 'wild', 'animals', 'among', 'you', 'which', 'will', 'rob', 'you', 'of', 'your', 'children', 'destroy', 'your', 'livestock', 'and', 'make', 'you', 'few', 'in', 'number', 'and', 'your', 'roads', 'will', 'become', 'desolate']"
1673,በዚ ነገርዚ እንተ ዘይተቐጻዕኩምለይ፡ ግናኸ ንኣይ ብምጽራር እንተ ተመላለስኩም፡,"""''If by these things you won''t be reformed to me, but will walk contrary to me;","['በዚ', 'ነገርዚ', 'እንተ', 'ዘይተቐጻዕኩምለይ', 'ግናኸ', 'ንኣይ', 'ብምጽራር', 'እንተ', 'ተመላለስኩም']","['""\'\'if', 'by', 'these', 'things', 'you', ""won''t"", 'be', 'reformed', 'to', 'me', 'but', 'will', 'walk', 'contrary', 'to', 'me']"
1674,ኣነ ኸኣ ንኣኻትኩም ብምጽራር እመላለስ፡ ብዛዕባ ሓጢኣትኩምውን ኣነ ሾብዓተ ዕጽፊ ገይረ እወቕዓኩም።,"then I will also walk contrary to you; and I will strike you, even I, seven times for your sins.","['ኣነ', 'ኸኣ', 'ንኣኻትኩም', 'ብምጽራር', 'እመላለስ', 'ብዛዕባ', 'ሓጢኣትኩምውን', 'ኣነ', 'ሾብዓተ', 'ዕጽፊ', 'ገይረ', 'እወቕዓኩም']","['then', 'i', 'will', 'also', 'walk', 'contrary', 'to', 'you', 'and', 'i', 'will', 'strike', 'you', 'even', 'i', 'seven', 'times', 'for', 'your', 'sins']"
1675,ሕነ ኺዳነይ ዚፈዲ ሴፍ ድማ ኣብ ልዕሌኹም ከምጽእ እየ፡ ኣብ ከተማታትኩም ከኣ ትእከቡ፡ ናብ ማእከልኩም ድማ ፌራ እሰድድ፡ ኣብ ኢድ ጸላኢ ኸኣ ትወሀቡ።,"I will bring a sword upon you, that will execute the vengeance of the covenant; and you will be gathered together within your cities: and I will send the pestilence among you; and you will be delivered into the hand of the enemy.","['ሕነ', 'ኺዳነይ', 'ዚፈዲ', 'ሴፍ', 'ድማ', 'ኣብ', 'ልዕሌኹም', 'ከምጽእ', 'እየ', 'ኣብ', 'ከተማታትኩም', 'ከኣ', 'ትእከቡ', 'ናብ', 'ማእከልኩም', 'ድማ', 'ፌራ', 'እሰድድ', 'ኣብ', 'ኢድ', 'ጸላኢ', 'ኸኣ', 'ትወሀቡ']","['i', 'will', 'bring', 'a', 'sword', 'upon', 'you', 'that', 'will', 'execute', 'the', 'vengeance', 'of', 'the', 'covenant', 'and', 'you', 'will', 'be', 'gathered', 'together', 'within', 'your', 'cities', 'and', 'i', 'will', 'send', 'the', 'pestilence', 'among', 'you', 'and', 'you', 'will', 'be', 'delivered', 'into', 'the', 'hand', 'of', 'the', 'enemy']"
1676,በትሪ እንጌራ ምስ ዝሰብረልኩም፡ ንእንጌራኹም ዓሰርተ ኣንስቲ ኣብ ሓደ እቶን ይስንክታኦ፡ እንጌራኹም ድማ ብሚዛን ይመልሳልኩም፡ በሊዕኩም ከኣ ኣይትጸግቡን።,"When I break your staff of bread, ten women shall bake your bread in one oven, and they shall deliver your bread again by weight: and you shall eat, and not be satisfied.","['በትሪ', 'እንጌራ', 'ምስ', 'ዝሰብረልኩም', 'ንእንጌራኹም', 'ዓሰርተ', 'ኣንስቲ', 'ኣብ', 'ሓደ', 'እቶን', 'ይስንክታኦ', 'እንጌራኹም', 'ድማ', 'ብሚዛን', 'ይመልሳልኩም', 'በሊዕኩም', 'ከኣ', 'ኣይትጸግቡን']","['when', 'i', 'break', 'your', 'staff', 'of', 'bread', 'ten', 'women', 'shall', 'bake', 'your', 'bread', 'in', 'one', 'oven', 'and', 'they', 'shall', 'deliver', 'your', 'bread', 'again', 'by', 'weight', 'and', 'you', 'shall', 'eat', 'and', 'not', 'be', 'satisfied']"
1677,በዚ ነገርዚ እንተ ዘይሰማዕኩምኒ እሞ እናተጻረርኩምኒ እንተ ኽድኩም፡,"""''If you in spite of this won''t listen to me, but walk contrary to me;","['በዚ', 'ነገርዚ', 'እንተ', 'ዘይሰማዕኩምኒ', 'እሞ', 'እናተጻረርኩምኒ', 'እንተ', 'ኽድኩም']","['""\'\'if', 'you', 'in', 'spite', 'of', 'this', ""won''t"", 'listen', 'to', 'me', 'but', 'walk', 'contrary', 'to', 'me']"
1678,ኣነ ድማ ብቑጥዓ እናተጻረርኩኹም እኸይድ እሞ ብዛዕባ ሓጢኣትኩም ሸብዓተ ዕጽፊ እቐጽዓኩም።,then I will walk contrary to you in wrath; and I also will chastise you seven times for your sins.,"['ኣነ', 'ድማ', 'ብቑጥዓ', 'እናተጻረርኩኹም', 'እኸይድ', 'እሞ', 'ብዛዕባ', 'ሓጢኣትኩም', 'ሸብዓተ', 'ዕጽፊ', 'እቐጽዓኩም']","['then', 'i', 'will', 'walk', 'contrary', 'to', 'you', 'in', 'wrath', 'and', 'i', 'also', 'will', 'chastise', 'you', 'seven', 'times', 'for', 'your', 'sins']"
1679,ስጋ ኣወዳትኩም ክትብልዑ፡ ስጋ ኣዋልድኩም ከኣ ክትበልዑ ኢኹም።,"You will eat the flesh of your sons, and you will eat the flesh of your daughters.","['ስጋ', 'ኣወዳትኩም', 'ክትብልዑ', 'ስጋ', 'ኣዋልድኩም', 'ከኣ', 'ክትበልዑ', 'ኢኹም']","['you', 'will', 'eat', 'the', 'flesh', 'of', 'your', 'sons', 'and', 'you', 'will', 'eat', 'the', 'flesh', 'of', 'your', 'daughters']"
1680,በረኽትኹም ኤፍርስ፡ ናይ ጸሓይ ኣዕኒድኩምውን እሰብር፡ ንሬሳኹም ድማ ናብ ልዕሊ ሬሳ ጣኦታትኩም ክድርብዮ እየ፡ ነፍሰይ ከኣ ክትፍንፍነኩም እያ።,"I will destroy your high places, and cut down your incense altars, and cast your dead bodies upon the bodies of your idols; and my soul will abhor you.","['በረኽትኹም', 'ኤፍርስ', 'ናይ', 'ጸሓይ', 'ኣዕኒድኩምውን', 'እሰብር', 'ንሬሳኹም', 'ድማ', 'ናብ', 'ልዕሊ', 'ሬሳ', 'ጣኦታትኩም', 'ክድርብዮ', 'እየ', 'ነፍሰይ', 'ከኣ', 'ክትፍንፍነኩም', 'እያ']","['i', 'will', 'destroy', 'your', 'high', 'places', 'and', 'cut', 'down', 'your', 'incense', 'altars', 'and', 'cast', 'your', 'dead', 'bodies', 'upon', 'the', 'bodies', 'of', 'your', 'idols', 'and', 'my', 'soul', 'will', 'abhor', 'you']"
1681,ንኸተማታትኩም ድማ በረኻ እገብረን፡ ንመቓድስኩምውን ኤፍርሰን፡ ደጊም ከኣ እቲ ጥዑም ጨና ዕጣንኩም ኣየጨንዎን።,"I will lay your cities waste, and will bring your sanctuaries to desolation, and I will not take delight in the sweet fragrance of your offerings.","['ንኸተማታትኩም', 'ድማ', 'በረኻ', 'እገብረን', 'ንመቓድስኩምውን', 'ኤፍርሰን', 'ደጊም', 'ከኣ', 'እቲ', 'ጥዑም', 'ጨና', 'ዕጣንኩም', 'ኣየጨንዎን']","['i', 'will', 'lay', 'your', 'cities', 'waste', 'and', 'will', 'bring', 'your', 'sanctuaries', 'to', 'desolation', 'and', 'i', 'will', 'not', 'take', 'delight', 'in', 'the', 'sweet', 'fragrance', 'of', 'your', 'offerings']"
1682,ነታ ሃገር ድማ ኣነ ኸባድማ እየ፡ እቶም ኣብኣ ዝነብሩ ጸላእትኹም ከኣ ብእኣ ኺድነቑ እዮም።,I will bring the land into desolation; and your enemies that dwell therein will be astonished at it.,"['ነታ', 'ሃገር', 'ድማ', 'ኣነ', 'ኸባድማ', 'እየ', 'እቶም', 'ኣብኣ', 'ዝነብሩ', 'ጸላእትኹም', 'ከኣ', 'ብእኣ', 'ኺድነቑ', 'እዮም']","['i', 'will', 'bring', 'the', 'land', 'into', 'desolation', 'and', 'your', 'enemies', 'that', 'dwell', 'therein', 'will', 'be', 'astonished', 'at', 'it']"
1683,ንኣኻትኩም ከኣ ኣብ ማእከል ህዝብታት ፋሕ ከብለኩም እየ፡ ደድሕሬኹም ድማ ሴፍ ክመልሕ እየ፡ ሃገርኩም ከኣ ክትባድም እያ፡ ከተማታትኩምውን በረኻ ይዀና።,"I will scatter you among the nations, and I will draw out the sword after you: and your land will be a desolation, and your cities shall be a waste.","['ንኣኻትኩም', 'ከኣ', 'ኣብ', 'ማእከል', 'ህዝብታት', 'ፋሕ', 'ከብለኩም', 'እየ', 'ደድሕሬኹም', 'ድማ', 'ሴፍ', 'ክመልሕ', 'እየ', 'ሃገርኩም', 'ከኣ', 'ክትባድም', 'እያ', 'ከተማታትኩምውን', 'በረኻ', 'ይዀና']","['i', 'will', 'scatter', 'you', 'among', 'the', 'nations', 'and', 'i', 'will', 'draw', 'out', 'the', 'sword', 'after', 'you', 'and', 'your', 'land', 'will', 'be', 'a', 'desolation', 'and', 'your', 'cities', 'shall', 'be', 'a', 'waste']"
1684,ሽዑ እታ ሃገር በቲ እትዐንወሉ ዅሉ ዘበን፡ ንስኻትኩም ድማ ኣብ ሃገር ጸላእትኹም ከሎኹም፡ ንሳ ብሰናብታ ባህ ይብላ፡ ሽዑ እታ ምድሪ ትዐርፍ፡ ብሰናብታ ኸኣ ባህ ይብላ።,Then the land will enjoy its sabbaths as long as it lies desolate and you are in your enemies'' land. Even then the land will rest and enjoy its sabbaths.,"['ሽዑ', 'እታ', 'ሃገር', 'በቲ', 'እትዐንወሉ', 'ዅሉ', 'ዘበን', 'ንስኻትኩም', 'ድማ', 'ኣብ', 'ሃገር', 'ጸላእትኹም', 'ከሎኹም', 'ንሳ', 'ብሰናብታ', 'ባህ', 'ይብላ', 'ሽዑ', 'እታ', 'ምድሪ', 'ትዐርፍ', 'ብሰናብታ', 'ኸኣ', 'ባህ', 'ይብላ']","['then', 'the', 'land', 'will', 'enjoy', 'its', 'sabbaths', 'as', 'long', 'as', 'it', 'lies', 'desolate', 'and', 'you', 'are', 'in', 'your', ""enemies''"", 'land', 'even', 'then', 'the', 'land', 'will', 'rest', 'and', 'enjoy', 'its', 'sabbaths']"
1685,እቲ ንስኻትኩም ኣብኣ ኽትነብሩ ኸሎኹም፡ ብሰናብትኹም ዘይዐርፈት፡ በቲ እትዐንወሉ ዂሉ ዘበን ክትዐርፍ እያ።,"As long as it lies desolate it shall have rest, even the rest which it didn''t have in your sabbaths, when you lived on it.","['እቲ', 'ንስኻትኩም', 'ኣብኣ', 'ኽትነብሩ', 'ኸሎኹም', 'ብሰናብትኹም', 'ዘይዐርፈት', 'በቲ', 'እትዐንወሉ', 'ዂሉ', 'ዘበን', 'ክትዐርፍ', 'እያ']","['as', 'long', 'as', 'it', 'lies', 'desolate', 'it', 'shall', 'have', 'rest', 'even', 'the', 'rest', 'which', 'it', ""didn''t"", 'have', 'in', 'your', 'sabbaths', 'when', 'you', 'lived', 'on', 'it']"
1686,ነቶም ካባኻትኩም ዝተረፉ ድማ ኣብ ሃገር ጸላእቶም ከለዉ፡ ምሽባር ናብ ልቦም ከእቱ እየ፡ ደሃይ እተነቓነቐት ቈጽሊ ኸኣ የህድሞም፡ ካብ ሴፍ ከም ዚሀድም ይሀድሙ፡ ገለ ኸይሰጐጎም ከኣ ይወድቁ።,"""''As for those of you who are left, I will send a faintness into their hearts in the lands of their enemies: and the sound of a driven leaf will put them to flight; and they shall flee, as one flees from the sword; and they will fall when no one pursues.","['ነቶም', 'ካባኻትኩም', 'ዝተረፉ', 'ድማ', 'ኣብ', 'ሃገር', 'ጸላእቶም', 'ከለዉ', 'ምሽባር', 'ናብ', 'ልቦም', 'ከእቱ', 'እየ', 'ደሃይ', 'እተነቓነቐት', 'ቈጽሊ', 'ኸኣ', 'የህድሞም', 'ካብ', 'ሴፍ', 'ከም', 'ዚሀድም', 'ይሀድሙ', 'ገለ', 'ኸይሰጐጎም', 'ከኣ', 'ይወድቁ']","['""\'\'as', 'for', 'those', 'of', 'you', 'who', 'are', 'left', 'i', 'will', 'send', 'a', 'faintness', 'into', 'their', 'hearts', 'in', 'the', 'lands', 'of', 'their', 'enemies', 'and', 'the', 'sound', 'of', 'a', 'driven', 'leaf', 'will', 'put', 'them', 'to', 'flight', 'and', 'they', 'shall', 'flee', 'as', 'one', 'flees', 'from', 'the', 'sword', 'and', 'they', 'will', 'fall', 'when', 'no', 'one', 'pursues']"
1687,ሓደ እኳ ኸይሰጐጎም፡ ከም ኣብ ቅድሚ ሴፍ እቲ እቲ ሓደ ኣብ ልዕሊ እቲ ሓደ ይወድቁ፡ ኣብ ቅድሚ ጸላእትኹም ከኣ ክትቈሙ ኣይትኽእሉን።,"They will stumble over one another, as it were before the sword, when no one pursues: and you will have no power to stand before your enemies.","['ሓደ', 'እኳ', 'ኸይሰጐጎም', 'ከም', 'ኣብ', 'ቅድሚ', 'ሴፍ', 'እቲ', 'እቲ', 'ሓደ', 'ኣብ', 'ልዕሊ', 'እቲ', 'ሓደ', 'ይወድቁ', 'ኣብ', 'ቅድሚ', 'ጸላእትኹም', 'ከኣ', 'ክትቈሙ', 'ኣይትኽእሉን']","['they', 'will', 'stumble', 'over', 'one', 'another', 'as', 'it', 'were', 'before', 'the', 'sword', 'when', 'no', 'one', 'pursues', 'and', 'you', 'will', 'have', 'no', 'power', 'to', 'stand', 'before', 'your', 'enemies']"
1688,ኣብ ማእከል ህብታት ትጠፍኡ፡ ምድሪ ጸላእትኹም ድማ ትውሕጠኩም።,"You will perish among the nations, and the land of your enemies will eat you up.","['ኣብ', 'ማእከል', 'ህብታት', 'ትጠፍኡ', 'ምድሪ', 'ጸላእትኹም', 'ድማ', 'ትውሕጠኩም']","['you', 'will', 'perish', 'among', 'the', 'nations', 'and', 'the', 'land', 'of', 'your', 'enemies', 'will', 'eat', 'you', 'up']"
1689,እቶም ካባኻትኩም ዝተረፉ ድማ ኣብ ምድሪ ጸላእትኹም ብኽፍኣቶም ይምህምኑ፡ ብኽፍኣት ኣቦታቶም ከኣ ምሳታቶም ይምህምኑ።,Those of you who are left will pine away in their iniquity in your enemies'' lands; and also in the iniquities of their fathers shall they pine away with them.,"['እቶም', 'ካባኻትኩም', 'ዝተረፉ', 'ድማ', 'ኣብ', 'ምድሪ', 'ጸላእትኹም', 'ብኽፍኣቶም', 'ይምህምኑ', 'ብኽፍኣት', 'ኣቦታቶም', 'ከኣ', 'ምሳታቶም', 'ይምህምኑ']","['those', 'of', 'you', 'who', 'are', 'left', 'will', 'pine', 'away', 'in', 'their', 'iniquity', 'in', 'your', ""enemies''"", 'lands', 'and', 'also', 'in', 'the', 'iniquities', 'of', 'their', 'fathers', 'shall', 'they', 'pine', 'away', 'with', 'them']"
1690,በቲ ዝበደሉኒ በደሎምን፡ በቲ ዚገብርዎ ኽፍኣቶምን ክፍኣት ኣቦታቶምን ኪናዘዙ እዮም። ድማ ብምምልላሶም ስለ እተጻረሩኒ፡,"""''If they confess their iniquity, and the iniquity of their fathers, in their trespass which they trespassed against me, and also that, because they walked contrary to me,","['በቲ', 'ዝበደሉኒ', 'በደሎምን', 'በቲ', 'ዚገብርዎ', 'ኽፍኣቶምን', 'ክፍኣት', 'ኣቦታቶምን', 'ኪናዘዙ', 'እዮም', 'ድማ', 'ብምምልላሶም', 'ስለ', 'እተጻረሩኒ']","['""\'\'if', 'they', 'confess', 'their', 'iniquity', 'and', 'the', 'iniquity', 'of', 'their', 'fathers', 'in', 'their', 'trespass', 'which', 'they', 'trespassed', 'against', 'me', 'and', 'also', 'that', 'because', 'they', 'walked', 'contrary', 'to', 'me']"
1691,ኣነ ኸኣ ብምምልላሰይ ተጻረርክዎም፡ ናብ ምድሪ ጸላእቶም ድማ ኣእቶኽዎም። ሽዑ እቲ ዘይግዙር ልቦም እንተ ኣትሐቱ፡ ቅጽዓት ክፍኣቶምውን እንተ ተቐበሉ፡,"I also walked contrary to them, and brought them into the land of their enemies: if then their uncircumcised heart is humbled, and they then accept the punishment of their iniquity;","['ኣነ', 'ኸኣ', 'ብምምልላሰይ', 'ተጻረርክዎም', 'ናብ', 'ምድሪ', 'ጸላእቶም', 'ድማ', 'ኣእቶኽዎም', 'ሽዑ', 'እቲ', 'ዘይግዙር', 'ልቦም', 'እንተ', 'ኣትሐቱ', 'ቅጽዓት', 'ክፍኣቶምውን', 'እንተ', 'ተቐበሉ']","['i', 'also', 'walked', 'contrary', 'to', 'them', 'and', 'brought', 'them', 'into', 'the', 'land', 'of', 'their', 'enemies', 'if', 'then', 'their', 'uncircumcised', 'heart', 'is', 'humbled', 'and', 'they', 'then', 'accept', 'the', 'punishment', 'of', 'their', 'iniquity']"
1692,ኣነ ድማ እቲ ኺዳነይ ምስ ያእቆብ እዝክር፡ ኪዳነይ ምስ ይስሃቅ ድማ፡ ኪዳነይ ምስ ኣብርሃም ከኣ እዝክር፡ ነታ ሃገርውን እዝክራ።,"then I will remember my covenant with Jacob; and also my covenant with Isaac, and also my covenant with Abraham; and I will remember the land.","['ኣነ', 'ድማ', 'እቲ', 'ኺዳነይ', 'ምስ', 'ያእቆብ', 'እዝክር', 'ኪዳነይ', 'ምስ', 'ይስሃቅ', 'ድማ', 'ኪዳነይ', 'ምስ', 'ኣብርሃም', 'ከኣ', 'እዝክር', 'ነታ', 'ሃገርውን', 'እዝክራ']","['then', 'i', 'will', 'remember', 'my', 'covenant', 'with', 'jacob', 'and', 'also', 'my', 'covenant', 'with', 'isaac', 'and', 'also', 'my', 'covenant', 'with', 'abraham', 'and', 'i', 'will', 'remember', 'the', 'land']"
1693,ነታ ሃገር ኪሐድግዋ እዮም እሞ፡ ንሳቶም ከየለዉ ዖንያ ኸላ ብሰናብታ ባህ ይብላ፡ ንሳቶም ከኣ ፍርድታተይ ስለ ዘቃለሉን፡ ነፍሳቶም ከኣ ሕጋጋተይ ስለ ዝፈንፈና፡ ቅጽዓት ሓጢኣቶም ይቕበሉ።,"The land also will be left by them, and will enjoy its sabbaths while it lies desolate without them: and they will accept the punishment of their iniquity; because, even because they rejected my ordinances, and their soul abhorred my statutes.","['ነታ', 'ሃገር', 'ኪሐድግዋ', 'እዮም', 'እሞ', 'ንሳቶም', 'ከየለዉ', 'ዖንያ', 'ኸላ', 'ብሰናብታ', 'ባህ', 'ይብላ', 'ንሳቶም', 'ከኣ', 'ፍርድታተይ', 'ስለ', 'ዘቃለሉን', 'ነፍሳቶም', 'ከኣ', 'ሕጋጋተይ', 'ስለ', 'ዝፈንፈና', 'ቅጽዓት', 'ሓጢኣቶም', 'ይቕበሉ']","['the', 'land', 'also', 'will', 'be', 'left', 'by', 'them', 'and', 'will', 'enjoy', 'its', 'sabbaths', 'while', 'it', 'lies', 'desolate', 'without', 'them', 'and', 'they', 'will', 'accept', 'the', 'punishment', 'of', 'their', 'iniquity', 'because', 'even', 'because', 'they', 'rejected', 'my', 'ordinances', 'and', 'their', 'soul', 'abhorred', 'my', 'statutes']"
1694,እዚ ኽነሱ እኳ፡ ኣነ እግዚኣብሄር ኣምላኾም እየ እሞ፡ ኣብ ምድሪ ጸላእቶም ከለዉ ፈጺመ ንምጥፋኦም፡ ምሳታቶም ዝአቶኽዎ ኺዳን ንምፍራስ ኣይድርብዮምን፡ ኣይፍንፍኖምን ድማ።,"Yet for all that, when they are in the land of their enemies, I will not reject them, neither will I abhor them, to destroy them utterly, and to break my covenant with them; for I am Yahweh their God;","['እዚ', 'ኽነሱ', 'እኳ', 'ኣነ', 'እግዚኣብሄር', 'ኣምላኾም', 'እየ', 'እሞ', 'ኣብ', 'ምድሪ', 'ጸላእቶም', 'ከለዉ', 'ፈጺመ', 'ንምጥፋኦም', 'ምሳታቶም', 'ዝአቶኽዎ', 'ኺዳን', 'ንምፍራስ', 'ኣይድርብዮምን', 'ኣይፍንፍኖምን', 'ድማ']","['yet', 'for', 'all', 'that', 'when', 'they', 'are', 'in', 'the', 'land', 'of', 'their', 'enemies', 'i', 'will', 'not', 'reject', 'them', 'neither', 'will', 'i', 'abhor', 'them', 'to', 'destroy', 'them', 'utterly', 'and', 'to', 'break', 'my', 'covenant', 'with', 'them', 'for', 'i', 'am', 'yahweh', 'their', 'god']"
1695,ኣምላኾም ምእንቲ ክኸውን ኢለ፡ ካብ ምድሪ ግብጺ ኣብ ቅድሚ ህዝብታት ኣውጺኤ ነቲ ምስቶም ቀዳሞት ዝአቶኽዎ ኺዳን ክዝክር እየ፡ ኣነ እግዚኣብሄር እየ።,"but I will for their sake remember the covenant of their ancestors, whom I brought forth out of the land of Egypt in the sight of the nations, that I might be their God. I am Yahweh.''""","['ኣምላኾም', 'ምእንቲ', 'ክኸውን', 'ኢለ', 'ካብ', 'ምድሪ', 'ግብጺ', 'ኣብ', 'ቅድሚ', 'ህዝብታት', 'ኣውጺኤ', 'ነቲ', 'ምስቶም', 'ቀዳሞት', 'ዝአቶኽዎ', 'ኺዳን', 'ክዝክር', 'እየ', 'ኣነ', 'እግዚኣብሄር', 'እየ']","['but', 'i', 'will', 'for', 'their', 'sake', 'remember', 'the', 'covenant', 'of', 'their', 'ancestors', 'whom', 'i', 'brought', 'forth', 'out', 'of', 'the', 'land', 'of', 'egypt', 'in', 'the', 'sight', 'of', 'the', 'nations', 'that', 'i', 'might', 'be', 'their', 'god', 'i', 'am', 'yahweh.\'\'""']"
1696,እቲ እግዚኣብሄር ኣብ መንጎኡን ኣብ መንጎ ደቂ እስራኤልን ብኢድ ሙሴ ኣብ ደብረ ሲና ዝሀበ ትእዛዛትን ፍርድታትን ሕጋጋትን እዚ እዩ።,"These are the statutes, ordinances and laws, which Yahweh made between him and the children of Israel in Mount Sinai by Moses.","['እቲ', 'እግዚኣብሄር', 'ኣብ', 'መንጎኡን', 'ኣብ', 'መንጎ', 'ደቂ', 'እስራኤልን', 'ብኢድ', 'ሙሴ', 'ኣብ', 'ደብረ', 'ሲና', 'ዝሀበ', 'ትእዛዛትን', 'ፍርድታትን', 'ሕጋጋትን', 'እዚ', 'እዩ']","['these', 'are', 'the', 'statutes', 'ordinances', 'and', 'laws', 'which', 'yahweh', 'made', 'between', 'him', 'and', 'the', 'children', 'of', 'israel', 'in', 'mount', 'sinai', 'by', 'moses']"
1697,እግዚኣብሄር ድማ ንሙሴ ኸምዚ ኢሉ ተዛረቦ፡,"Yahweh spoke to Moses, saying,","['እግዚኣብሄር', 'ድማ', 'ንሙሴ', 'ኸምዚ', 'ኢሉ', 'ተዛረቦ']","['yahweh', 'spoke', 'to', 'moses', 'saying']"
1698,ንደቂ እስራኤል ተዛረቦም በሎም ከኣ፡ ሰብ ምስ ዚመጻባዕ፡ እቶም ነፍሳት ንእግዚኣብሄር ከም ገምጋምካ ይተሐሰቡ።,"""Speak to the children of Israel, and say to them, ''When a man makes a vow, the persons shall be for Yahweh by your valuation.","['ንደቂ', 'እስራኤል', 'ተዛረቦም', 'በሎም', 'ከኣ', 'ሰብ', 'ምስ', 'ዚመጻባዕ', 'እቶም', 'ነፍሳት', 'ንእግዚኣብሄር', 'ከም', 'ገምጋምካ', 'ይተሐሰቡ']","['""speak', 'to', 'the', 'children', 'of', 'israel', 'and', 'say', 'to', 'them', ""''when"", 'a', 'man', 'makes', 'a', 'vow', 'the', 'persons', 'shall', 'be', 'for', 'yahweh', 'by', 'your', 'valuation']"
1699,እቲ ገምጋምካ ድማ፡ ንተባዕታይ ካብ ዕስራ ዓመት ክሳዕ ወዲ ስሳ ዓመት ገምጋምካ ብሲቃል መቕደስ ሓምሳ ሲቃል ብሩር ይኹን።,"Your valuation shall be of a male from twenty years old even to sixty years old, even your valuation shall be fifty shekels of silver, after the shekel of the sanctuary.","['እቲ', 'ገምጋምካ', 'ድማ', 'ንተባዕታይ', 'ካብ', 'ዕስራ', 'ዓመት', 'ክሳዕ', 'ወዲ', 'ስሳ', 'ዓመት', 'ገምጋምካ', 'ብሲቃል', 'መቕደስ', 'ሓምሳ', 'ሲቃል', 'ብሩር', 'ይኹን']","['your', 'valuation', 'shall', 'be', 'of', 'a', 'male', 'from', 'twenty', 'years', 'old', 'even', 'to', 'sixty', 'years', 'old', 'even', 'your', 'valuation', 'shall', 'be', 'fifty', 'shekels', 'of', 'silver', 'after', 'the', 'shekel', 'of', 'the', 'sanctuary']"
1700,ጓል ኣንስተይቲ እንተ ዀነት ከኣ፡ ገምጋምካ ሰላሳ ሲቃል ይኹን።,"If it is a female, then your valuation shall be thirty shekels.","['ጓል', 'ኣንስተይቲ', 'እንተ', 'ዀነት', 'ከኣ', 'ገምጋምካ', 'ሰላሳ', 'ሲቃል', 'ይኹን']","['if', 'it', 'is', 'a', 'female', 'then', 'your', 'valuation', 'shall', 'be', 'thirty', 'shekels']"
1701,ካብ ወዲ ሓሙሽተ ዓመት ክሳዕ ወዲ ዕስራ ዓመት እንተ ዀነ ድማ፡ ገምጋምካ ንተባዕታይ ዕስራ ሲቃል፡ ንጓል ኣንስተይቲ ኸኣ ዓሰርተ ሲቃል ይኹን።,"If the person is from five years old even to twenty years old, then your valuation shall be for a male twenty shekels, and for a female ten shekels.","['ካብ', 'ወዲ', 'ሓሙሽተ', 'ዓመት', 'ክሳዕ', 'ወዲ', 'ዕስራ', 'ዓመት', 'እንተ', 'ዀነ', 'ድማ', 'ገምጋምካ', 'ንተባዕታይ', 'ዕስራ', 'ሲቃል', 'ንጓል', 'ኣንስተይቲ', 'ኸኣ', 'ዓሰርተ', 'ሲቃል', 'ይኹን']","['if', 'the', 'person', 'is', 'from', 'five', 'years', 'old', 'even', 'to', 'twenty', 'years', 'old', 'then', 'your', 'valuation', 'shall', 'be', 'for', 'a', 'male', 'twenty', 'shekels', 'and', 'for', 'a', 'female', 'ten', 'shekels']"
1702,ካብ ወዲ ሓደ ወርሒ ኽሳዕ ወዲ ሓሙሽተ ዓመት እንተ ዀነ ድማ፡ ገምጋምካ ንተባዕታይ ሓሙሽተ ሲቃል ብሩር፡ ገምጋምካ ንጓል ኣንስተይቲውን ሰለስተ ሲቃል ብሩር ይኹን።,"If the person is from a month old even to five years old, then your valuation shall be for a male five shekels of silver, and for a female your valuation shall be three shekels of silver.","['ካብ', 'ወዲ', 'ሓደ', 'ወርሒ', 'ኽሳዕ', 'ወዲ', 'ሓሙሽተ', 'ዓመት', 'እንተ', 'ዀነ', 'ድማ', 'ገምጋምካ', 'ንተባዕታይ', 'ሓሙሽተ', 'ሲቃል', 'ብሩር', 'ገምጋምካ', 'ንጓል', 'ኣንስተይቲውን', 'ሰለስተ', 'ሲቃል', 'ብሩር', 'ይኹን']","['if', 'the', 'person', 'is', 'from', 'a', 'month', 'old', 'even', 'to', 'five', 'years', 'old', 'then', 'your', 'valuation', 'shall', 'be', 'for', 'a', 'male', 'five', 'shekels', 'of', 'silver', 'and', 'for', 'a', 'female', 'your', 'valuation', 'shall', 'be', 'three', 'shekels', 'of', 'silver']"
