,EN,TI,TI_tokenized,EN_tokenized
395,"and he sent forth a raven. It went back and forth, until the waters were dried up from the earth.",ኳዅ ድማ ሰደደ፡ ንሱ ከኣ ማይ ካብ ምድሪ ኽሳዕ ዚነጽፍ፡ ንየው ነጀው ይማላለስ ነበረ።,"['ኳዅ', 'ድማ', 'ሰደደ', 'ንሱ', 'ከኣ', 'ማይ', 'ካብ', 'ምድሪ', 'ኽሳዕ', 'ዚነጽፍ', 'ንየው', 'ነጀው', 'ይማላለስ', 'ነበረ']","['and', 'he', 'sent', 'forth', 'a', 'raven', 'it', 'went', 'back', 'and', 'forth', 'until', 'the', 'waters', 'were', 'dried', 'up', 'from', 'the', 'earth']"
396,"He sent forth a dove from him, to see if the waters were abated from the surface of the ground,",ድሕርዚ ድማ ማይ ካብ ልዕሊ ገጽ ምድሪ ጐዲሉ እንተ ዀነ ኺርኢ፡ ካብቲ ዘለዎ ርግቢ ሰደደ።,"['ድሕርዚ', 'ድማ', 'ማይ', 'ካብ', 'ልዕሊ', 'ገጽ', 'ምድሪ', 'ጐዲሉ', 'እንተ', 'ዀነ', 'ኺርኢ', 'ካብቲ', 'ዘለዎ', 'ርግቢ', 'ሰደደ']","['he', 'sent', 'forth', 'a', 'dove', 'from', 'him', 'to', 'see', 'if', 'the', 'waters', 'were', 'abated', 'from', 'the', 'surface', 'of', 'the', 'ground']"
397,"but the dove found no place to rest her foot, and she returned to him into the ship; for the waters were on the surface of the whole earth. He put forth his hand, and took her, and brought her to him into the ship.",ኣብ ልዕሊ ገጽ ኵላ ምድሪ ማይ ስለ ዝነበረ ግና፡ እታ ርግቢ እግራ እተዕርፈላ ኣይረኸበትን እሞ፡ ናብኡ ናብ መርከብ ተመልሰቶ። ኢዱ ዘርጊሑ ወሰዳ፡ ናብኡ ኸኣ ናብ መርከብ ኣእተዋ።,"['ኣብ', 'ልዕሊ', 'ገጽ', 'ኵላ', 'ምድሪ', 'ማይ', 'ስለ', 'ዝነበረ', 'ግና', 'እታ', 'ርግቢ', 'እግራ', 'እተዕርፈላ', 'ኣይረኸበትን', 'እሞ', 'ናብኡ', 'ናብ', 'መርከብ', 'ተመልሰቶ', 'ኢዱ', 'ዘርጊሑ', 'ወሰዳ', 'ናብኡ', 'ኸኣ', 'ናብ', 'መርከብ', 'ኣእተዋ']","['but', 'the', 'dove', 'found', 'no', 'place', 'to', 'rest', 'her', 'foot', 'and', 'she', 'returned', 'to', 'him', 'into', 'the', 'ship', 'for', 'the', 'waters', 'were', 'on', 'the', 'surface', 'of', 'the', 'whole', 'earth', 'he', 'put', 'forth', 'his', 'hand', 'and', 'took', 'her', 'and', 'brought', 'her', 'to', 'him', 'into', 'the', 'ship']"
398,He stayed yet another seven days; and again he sent forth the dove out of the ship.,ገና ኻልእ ሾብዓተ መዓልቲ ጸኒሑ ድማ፡ ነታ ርግቢ መሊሱ ኻብ መርከብ ሰደዳ።,"['ገና', 'ኻልእ', 'ሾብዓተ', 'መዓልቲ', 'ጸኒሑ', 'ድማ', 'ነታ', 'ርግቢ', 'መሊሱ', 'ኻብ', 'መርከብ', 'ሰደዳ']","['he', 'stayed', 'yet', 'another', 'seven', 'days', 'and', 'again', 'he', 'sent', 'forth', 'the', 'dove', 'out', 'of', 'the', 'ship']"
399,"The dove came back to him at evening, and, behold, in her mouth was an olive leaf plucked off. So Noah knew that the waters were abated from the earth.",እታ ርግቢ ኣጋ ምሸት ተመልሰቶ፡ እንሆ ኸኣ ልሙዕ ቈጽሊ ኣውልዕ ኣብ ኣፋ ሒዛ ነበረት። ሽዑ ኖህ ማይ ካብ ምድሪ ኸም ዝነጸፈ ፈለጠ።,"['እታ', 'ርግቢ', 'ኣጋ', 'ምሸት', 'ተመልሰቶ', 'እንሆ', 'ኸኣ', 'ልሙዕ', 'ቈጽሊ', 'ኣውልዕ', 'ኣብ', 'ኣፋ', 'ሒዛ', 'ነበረት', 'ሽዑ', 'ኖህ', 'ማይ', 'ካብ', 'ምድሪ', 'ኸም', 'ዝነጸፈ', 'ፈለጠ']","['the', 'dove', 'came', 'back', 'to', 'him', 'at', 'evening', 'and', 'behold', 'in', 'her', 'mouth', 'was', 'an', 'olive', 'leaf', 'plucked', 'off', 'so', 'noah', 'knew', 'that', 'the', 'waters', 'were', 'abated', 'from', 'the', 'earth']"
400,"He stayed yet another seven days, and sent forth the dove; and she didn''t return to him any more.",ገና ኻልእ ሾብዓተ መዓልቲ ጸኒሑ ድማ ነታ ርግቢ ሰደዳ። ድሕሪ ደጊም ናብኡ ኣይተመልሰትን።,"['ገና', 'ኻልእ', 'ሾብዓተ', 'መዓልቲ', 'ጸኒሑ', 'ድማ', 'ነታ', 'ርግቢ', 'ሰደዳ', 'ድሕሪ', 'ደጊም', 'ናብኡ', 'ኣይተመልሰትን']","['he', 'stayed', 'yet', 'another', 'seven', 'days', 'and', 'sent', 'forth', 'the', 'dove', 'and', 'she', ""didn''t"", 'return', 'to', 'him', 'any', 'more']"
401,"It happened in the six hundred first year, in the first month, the first day of the month, the waters were dried up from the earth. Noah removed the covering of the ship, and looked. He saw that the surface of the ground was dried.",ኰነ ኸኣ፡ ኣብ መበል ሹድሽተ ሚእትን ሓደን ዓመቱ ንኖህ፡ ኣብ ቀዳመይቲ ወርሒ ካብታ ወርሒ ድማ ኣብ ቀዳመይቲ መዓልቲ፡ እቲ ማይ ካብ ምድሪ ነጸፈ። ሽዑ ኖህ ናሕሲ መርከብ ቀሊዑ ረኣየ፡ እንሆ ኸኣ ገጽ እታ ምድሪ ነቒጻ ነበረት።,"['ኰነ', 'ኸኣ', 'ኣብ', 'መበል', 'ሹድሽተ', 'ሚእትን', 'ሓደን', 'ዓመቱ', 'ንኖህ', 'ኣብ', 'ቀዳመይቲ', 'ወርሒ', 'ካብታ', 'ወርሒ', 'ድማ', 'ኣብ', 'ቀዳመይቲ', 'መዓልቲ', 'እቲ', 'ማይ', 'ካብ', 'ምድሪ', 'ነጸፈ', 'ሽዑ', 'ኖህ', 'ናሕሲ', 'መርከብ', 'ቀሊዑ', 'ረኣየ', 'እንሆ', 'ኸኣ', 'ገጽ', 'እታ', 'ምድሪ', 'ነቒጻ', 'ነበረት']","['it', 'happened', 'in', 'the', 'six', 'hundred', 'first', 'year', 'in', 'the', 'first', 'month', 'the', 'first', 'day', 'of', 'the', 'month', 'the', 'waters', 'were', 'dried', 'up', 'from', 'the', 'earth', 'noah', 'removed', 'the', 'covering', 'of', 'the', 'ship', 'and', 'looked', 'he', 'saw', 'that', 'the', 'surface', 'of', 'the', 'ground', 'was', 'dried']"
402,"In the second month, on the twenty-seventh day of the month, the earth was dry.",ኣብ ካልኣይቲ ወርሒ፡ ካብታ ወርሒ ድማ ኣብ መበል ዕስራን ሾብዓተን መዓልቲ እታ ምድሪ ነቐጸት።,"['ኣብ', 'ካልኣይቲ', 'ወርሒ', 'ካብታ', 'ወርሒ', 'ድማ', 'ኣብ', 'መበል', 'ዕስራን', 'ሾብዓተን', 'መዓልቲ', 'እታ', 'ምድሪ', 'ነቐጸት']","['in', 'the', 'second', 'month', 'on', 'the', 'twenty-seventh', 'day', 'of', 'the', 'month', 'the', 'earth', 'was', 'dry']"
403,"God spoke to Noah, saying,",ኣምላኽ ድማ ንኖህ ከምዚ ኢሉ ተዛረቦ፡,"['ኣምላኽ', 'ድማ', 'ንኖህ', 'ከምዚ', 'ኢሉ', 'ተዛረቦ']","['god', 'spoke', 'to', 'noah', 'saying']"
404,"""Go out of the ship, you, and your wife, and your sons, and your sons'' wives with you.",ንስኻን ሰበይትኻን ደቅኻን፡ ኣንስቲ ደቅኻ ኸኣ ምሳኻ፡ ካብ መርከብ ውጹ።,"['ንስኻን', 'ሰበይትኻን', 'ደቅኻን', 'ኣንስቲ', 'ደቅኻ', 'ኸኣ', 'ምሳኻ', 'ካብ', 'መርከብ', 'ውጹ']","['""go', 'out', 'of', 'the', 'ship', 'you', 'and', 'your', 'wife', 'and', 'your', 'sons', 'and', 'your', ""sons''"", 'wives', 'with', 'you']"
405,"Bring forth with you every living thing that is with you of all flesh, including birds, livestock, and every creeping thing that creeps on the earth, that they may breed abundantly in the earth, and be fruitful, and multiply on the earth.""",ምሳኻ ዘሎ ኹሉ ህያው ካብ ስጋ ዘበለ፡ ኣዕዋፍን እንስሳን ኣብ ምድሪ ለመም ዚብል ለመምታን ኣብ ምድሪ ኺስስኑ፡ ምሳኻ ኣውጽኣዮም፡ ኣብ ምድሪ ድማ ይፋረዩን ይባዝሑን።,"['ምሳኻ', 'ዘሎ', 'ኹሉ', 'ህያው', 'ካብ', 'ስጋ', 'ዘበለ', 'ኣዕዋፍን', 'እንስሳን', 'ኣብ', 'ምድሪ', 'ለመም', 'ዚብል', 'ለመምታን', 'ኣብ', 'ምድሪ', 'ኺስስኑ', 'ምሳኻ', 'ኣውጽኣዮም', 'ኣብ', 'ምድሪ', 'ድማ', 'ይፋረዩን', 'ይባዝሑን']","['bring', 'forth', 'with', 'you', 'every', 'living', 'thing', 'that', 'is', 'with', 'you', 'of', 'all', 'flesh', 'including', 'birds', 'livestock', 'and', 'every', 'creeping', 'thing', 'that', 'creeps', 'on', 'the', 'earth', 'that', 'they', 'may', 'breed', 'abundantly', 'in', 'the', 'earth', 'and', 'be', 'fruitful', 'and', 'multiply', 'on', 'the', 'earth.""']"
406,"Noah went forth, with his sons, his wife, and his sons'' wives with him.",ሽዑ ኖህ፡ ደቁን ሰበይቱን ኣንስቲ ደቁን ከኣ ምስኡ ወጹ።,"['ሽዑ', 'ኖህ', 'ደቁን', 'ሰበይቱን', 'ኣንስቲ', 'ደቁን', 'ከኣ', 'ምስኡ', 'ወጹ']","['noah', 'went', 'forth', 'with', 'his', 'sons', 'his', 'wife', 'and', 'his', ""sons''"", 'wives', 'with', 'him']"
407,"Every animal, every creeping thing, and every bird, whatever moves on the earth, after their families, went out of the ship.",ኵሉ ኣራዊትን ኵሉ ለመምታን ኵለን ኣዕዋፍን ኣብ ምድሪ ዚዋሳወስ ዘበለ ዅሉን ድማ በብዓሌቶም ካብ መርከብ ወጹ።,"['ኵሉ', 'ኣራዊትን', 'ኵሉ', 'ለመምታን', 'ኵለን', 'ኣዕዋፍን', 'ኣብ', 'ምድሪ', 'ዚዋሳወስ', 'ዘበለ', 'ዅሉን', 'ድማ', 'በብዓሌቶም', 'ካብ', 'መርከብ', 'ወጹ']","['every', 'animal', 'every', 'creeping', 'thing', 'and', 'every', 'bird', 'whatever', 'moves', 'on', 'the', 'earth', 'after', 'their', 'families', 'went', 'out', 'of', 'the', 'ship']"
408,"Noah built an altar to Yahweh, and took of every clean animal, and of every clean bird, and offered burnt offerings on the altar.",ኖህ ድማ ንእግዚኣብሄር መሰውኢ ሰርሔ፡ ካብ ንጹህ እንስሳ ዘበለን ካብ ኵለን ንጹሃት ኣዕዋፍን ወሲዱ ኸኣ ዚሓርር መስዋእቲ ኣብ መሰውኢ ኣዕረገ።,"['ኖህ', 'ድማ', 'ንእግዚኣብሄር', 'መሰውኢ', 'ሰርሔ', 'ካብ', 'ንጹህ', 'እንስሳ', 'ዘበለን', 'ካብ', 'ኵለን', 'ንጹሃት', 'ኣዕዋፍን', 'ወሲዱ', 'ኸኣ', 'ዚሓርር', 'መስዋእቲ', 'ኣብ', 'መሰውኢ', 'ኣዕረገ']","['noah', 'built', 'an', 'altar', 'to', 'yahweh', 'and', 'took', 'of', 'every', 'clean', 'animal', 'and', 'of', 'every', 'clean', 'bird', 'and', 'offered', 'burnt', 'offerings', 'on', 'the', 'altar']"
409,"Yahweh smelled the sweet savor. Yahweh said in his heart, ""I will not again curse the ground any more for man''s sake, because the imagination of man''s heart is evil from his youth; neither will I ever again strike everything living, as I have done.",እግዚኣብሄር ድማ እዚ ጥዑም መኣዛ ኣጭነወ፡ እግዚኣብሄር ከኣ ብልቡ፡ ሕሊና ልቢ ሰብ ካብ ንእስነቱ ጀሚሩ ኽፉእ እዩ እሞ፡ ድሕሪ ደጊም ብሰሪ ሰብ ንምድሪ መሊሰ ኣይረግማን። ድሕሪ ደጊምሲ ኸምቲ ዝገበርክዎ፡ ህያው ንዘበለ ዅሉ መሊሰ ኣይክወቅዕን እየ።,"['እግዚኣብሄር', 'ድማ', 'እዚ', 'ጥዑም', 'መኣዛ', 'ኣጭነወ', 'እግዚኣብሄር', 'ከኣ', 'ብልቡ', 'ሕሊና', 'ልቢ', 'ሰብ', 'ካብ', 'ንእስነቱ', 'ጀሚሩ', 'ኽፉእ', 'እዩ', 'እሞ', 'ድሕሪ', 'ደጊም', 'ብሰሪ', 'ሰብ', 'ንምድሪ', 'መሊሰ', 'ኣይረግማን', 'ድሕሪ', 'ደጊምሲ', 'ኸምቲ', 'ዝገበርክዎ', 'ህያው', 'ንዘበለ', 'ዅሉ', 'መሊሰ', 'ኣይክወቅዕን', 'እየ']","['yahweh', 'smelled', 'the', 'sweet', 'savor', 'yahweh', 'said', 'in', 'his', 'heart', '""i', 'will', 'not', 'again', 'curse', 'the', 'ground', 'any', 'more', 'for', ""man''s"", 'sake', 'because', 'the', 'imagination', 'of', ""man''s"", 'heart', 'is', 'evil', 'from', 'his', 'youth', 'neither', 'will', 'i', 'ever', 'again', 'strike', 'everything', 'living', 'as', 'i', 'have', 'done']"
410,"While the earth remains, seed time and harvest, and cold and heat, and summer and winter, and day and night shall not cease.""",ምድሪ ኽሳዕ ዘላ፡ ዘርእን ዓጺድን፡ ዛሕልን ዋዕን፡ ሓጋይን ክረምትን፡ መዓልትን ለይትን ኣየቋርጽን እዩ፡ በለ።,"['ምድሪ', 'ኽሳዕ', 'ዘላ', 'ዘርእን', 'ዓጺድን', 'ዛሕልን', 'ዋዕን', 'ሓጋይን', 'ክረምትን', 'መዓልትን', 'ለይትን', 'ኣየቋርጽን', 'እዩ', 'በለ']","['while', 'the', 'earth', 'remains', 'seed', 'time', 'and', 'harvest', 'and', 'cold', 'and', 'heat', 'and', 'summer', 'and', 'winter', 'and', 'day', 'and', 'night', 'shall', 'not', 'cease.""']"
411,BLANK,ምድሪ ብዘላ ብሓደ ቛንቋን ብሓደ ንግግርን ነበረት።,"['ምድሪ', 'ብዘላ', 'ብሓደ', 'ቛንቋን', 'ብሓደ', 'ንግግርን', 'ነበረት']",['blank']
412,BLANK,ኰነ ድማ፡ ንምብራቕ ኣቢሎም ምስ ተጓዕዙ፡ ኣብ ምድሪ ሲነኣር ጐልጐል ረኸቡ፡ ኣብኡ ድማ ተቐመጡ።,"['ኰነ', 'ድማ', 'ንምብራቕ', 'ኣቢሎም', 'ምስ', 'ተጓዕዙ', 'ኣብ', 'ምድሪ', 'ሲነኣር', 'ጐልጐል', 'ረኸቡ', 'ኣብኡ', 'ድማ', 'ተቐመጡ']",['blank']
413,BLANK,ንሓድሕዶም ድማ፤ ክላ ግዳ፡ ጡብ ንስራሕ እሞ ብሓዊ ንድፈኖ፡ ተባሃሀሉ፡ እሞ ጡብ ኣብ ክንዲ እምኒ፡ ጸብሪ ኸኣ ኣብ ክንዲ ኖራ ዀነሎም።,"['ንሓድሕዶም', 'ድማ', 'ክላ', 'ግዳ', 'ጡብ', 'ንስራሕ', 'እሞ', 'ብሓዊ', 'ንድፈኖ', 'ተባሃሀሉ', 'እሞ', 'ጡብ', 'ኣብ', 'ክንዲ', 'እምኒ', 'ጸብሪ', 'ኸኣ', 'ኣብ', 'ክንዲ', 'ኖራ', 'ዀነሎም']",['blank']
414,BLANK,ሽዑ ድማ፡ ክላ ግዳ፡ ኣብ ልዕሊ ገጽ ኵላ ምድሪ ምእንቲ ፋሕ ከይንብልሲ፡ ከተማን ርእሱ ሰማይ ዝጥንቍር ግምብን ንስራሕ፡ ስምና ኸኣ ነጸውዕ፡ በሉ።,"['ሽዑ', 'ድማ', 'ክላ', 'ግዳ', 'ኣብ', 'ልዕሊ', 'ገጽ', 'ኵላ', 'ምድሪ', 'ምእንቲ', 'ፋሕ', 'ከይንብልሲ', 'ከተማን', 'ርእሱ', 'ሰማይ', 'ዝጥንቍር', 'ግምብን', 'ንስራሕ', 'ስምና', 'ኸኣ', 'ነጸውዕ', 'በሉ']",['blank']
415,BLANK,እግዚኣብሄር ከኣ ነቲ ደቂ ሰብ ዝሰርሕዎ ዝነበሩ ኸተማን ግምብን ኪርኢ ወረደ።,"['እግዚኣብሄር', 'ከኣ', 'ነቲ', 'ደቂ', 'ሰብ', 'ዝሰርሕዎ', 'ዝነበሩ', 'ኸተማን', 'ግምብን', 'ኪርኢ', 'ወረደ']",['blank']
416,BLANK,እግዚኣብሄር ድማ፡ እንሆ፡ ኵላቶም ሓደ ዝዘረባኦም ሓደ ህዝቢ እዮም። መጀመርታ ግብሮም ከኣ እዚ እዩ። ሕጂ ድማ ኪገብርዎ ኢሎም ዚህቅንዎ ዘበለ ዚኽልክሎም የልቦን።,"['እግዚኣብሄር', 'ድማ', 'እንሆ', 'ኵላቶም', 'ሓደ', 'ዝዘረባኦም', 'ሓደ', 'ህዝቢ', 'እዮም', 'መጀመርታ', 'ግብሮም', 'ከኣ', 'እዚ', 'እዩ', 'ሕጂ', 'ድማ', 'ኪገብርዎ', 'ኢሎም', 'ዚህቅንዎ', 'ዘበለ', 'ዚኽልክሎም', 'የልቦን']",['blank']
417,"Come, let''s go down, and there confuse their language, that they may not understand one another''s speech.""",እምበኣር ማንም ንዘረባ ብጻዩ ምእንቲ ኸይሰምዕሲ፡ ንዑ ንውረድ፡ ኣብኡ ኸኣ ዘረባኦም ንደባልቕ፡ በለ።,"['እምበኣር', 'ማንም', 'ንዘረባ', 'ብጻዩ', 'ምእንቲ', 'ኸይሰምዕሲ', 'ንዑ', 'ንውረድ', 'ኣብኡ', 'ኸኣ', 'ዘረባኦም', 'ንደባልቕ', 'በለ']","['come', ""let''s"", 'go', 'down', 'and', 'there', 'confuse', 'their', 'language', 'that', 'they', 'may', 'not', 'understand', 'one', ""another''s"", 'speech.""']"
418,So Yahweh scattered them abroad from there on the surface of all the earth. They stopped building the city.,እግዚኣብሄር ድማ ካብኡ ናብ ልዕሊ ገጽ ኵላ ምድሪ ፋሕ ኣበሎም፡ ምስራሕ እታ ኸተማ ኸኣ ገደፉ።,"['እግዚኣብሄር', 'ድማ', 'ካብኡ', 'ናብ', 'ልዕሊ', 'ገጽ', 'ኵላ', 'ምድሪ', 'ፋሕ', 'ኣበሎም', 'ምስራሕ', 'እታ', 'ኸተማ', 'ኸኣ', 'ገደፉ']","['so', 'yahweh', 'scattered', 'them', 'abroad', 'from', 'there', 'on', 'the', 'surface', 'of', 'all', 'the', 'earth', 'they', 'stopped', 'building', 'the', 'city']"
419,BLANK,እግዚኣብሄር ኣብኣ ቛንቋ ዅላ ምድሪ ፋሕፋሕ ስለ ዘበለ፡ ስም እታ ኸተማ ባቤል ተባህለ፡ ካብኣ ኸኣ እግዚኣብሄር ናብ ልዕሊ ገጽ ኵላ ምድሪ በተኖም።,"['እግዚኣብሄር', 'ኣብኣ', 'ቛንቋ', 'ዅላ', 'ምድሪ', 'ፋሕፋሕ', 'ስለ', 'ዘበለ', 'ስም', 'እታ', 'ኸተማ', 'ባቤል', 'ተባህለ', 'ካብኣ', 'ኸኣ', 'እግዚኣብሄር', 'ናብ', 'ልዕሊ', 'ገጽ', 'ኵላ', 'ምድሪ', 'በተኖም']",['blank']
420,This is the history of the generations of Shem. Shem was one hundred years old and became the father of Arpachshad two years after the flood.,ወለዶ ሴም እዚ እዩ፡ ሴም ወዲ ሚእቲ ዓመት ኰነ፡ ክልተ ዓመት ድሕሪ ማይ ኣይሂ ኸኣ ንኣርፋክሳድ ወለደ።,"['ወለዶ', 'ሴም', 'እዚ', 'እዩ', 'ሴም', 'ወዲ', 'ሚእቲ', 'ዓመት', 'ኰነ', 'ክልተ', 'ዓመት', 'ድሕሪ', 'ማይ', 'ኣይሂ', 'ኸኣ', 'ንኣርፋክሳድ', 'ወለደ']","['this', 'is', 'the', 'history', 'of', 'the', 'generations', 'of', 'shem', 'shem', 'was', 'one', 'hundred', 'years', 'old', 'and', 'became', 'the', 'father', 'of', 'arpachshad', 'two', 'years', 'after', 'the', 'flood']"
421,"Shem lived five hundred years after he became the father of Arpachshad, and became the father of sons and daughters.",ሴም ድማ ድሕርቲ ንኣርፋክሳድ ምስ ወለደ፡ ሓሙሽተ ሚእቲ ዓመት ገበረ፡ ኣወዳትን ኣዋልድን ከኣ ወለደ።,"['ሴም', 'ድማ', 'ድሕርቲ', 'ንኣርፋክሳድ', 'ምስ', 'ወለደ', 'ሓሙሽተ', 'ሚእቲ', 'ዓመት', 'ገበረ', 'ኣወዳትን', 'ኣዋልድን', 'ከኣ', 'ወለደ']","['shem', 'lived', 'five', 'hundred', 'years', 'after', 'he', 'became', 'the', 'father', 'of', 'arpachshad', 'and', 'became', 'the', 'father', 'of', 'sons', 'and', 'daughters']"
422,Arpachshad lived thirty-five years and became the father of Shelah.,ኣርፋክሳድ ድማ ሰላሳን ሓሙሽተን ዓመት ገበረ፡ ንሻላሕ ከኣ ወለደ።,"['ኣርፋክሳድ', 'ድማ', 'ሰላሳን', 'ሓሙሽተን', 'ዓመት', 'ገበረ', 'ንሻላሕ', 'ከኣ', 'ወለደ']","['arpachshad', 'lived', 'thirty-five', 'years', 'and', 'became', 'the', 'father', 'of', 'shelah']"
423,"Arpachshad lived four hundred three years after he became the father of Shelah, and became the father of sons and daughters.",ኣርፋክሳድውን ንሸላሕ ምስ ወለደ፡ ድሕሪኡ ኣርባዕተ ሚእትን ሰለስተን ዓመት ገበረ፡ ኣወዳትን ኣዋልድን ድማ ወለደ።,"['ኣርፋክሳድውን', 'ንሸላሕ', 'ምስ', 'ወለደ', 'ድሕሪኡ', 'ኣርባዕተ', 'ሚእትን', 'ሰለስተን', 'ዓመት', 'ገበረ', 'ኣወዳትን', 'ኣዋልድን', 'ድማ', 'ወለደ']","['arpachshad', 'lived', 'four', 'hundred', 'three', 'years', 'after', 'he', 'became', 'the', 'father', 'of', 'shelah', 'and', 'became', 'the', 'father', 'of', 'sons', 'and', 'daughters']"
424,"Shelah lived thirty years, and became the father of Eber:",ሸላሕ ከኣ ሰላሳ ዓመት ገበረ፡ ንዔበር ወለደ።,"['ሸላሕ', 'ከኣ', 'ሰላሳ', 'ዓመት', 'ገበረ', 'ንዔበር', 'ወለደ']","['shelah', 'lived', 'thirty', 'years', 'and', 'became', 'the', 'father', 'of', 'eber']"
425,"and Shelah lived four hundred three years after he became the father of Eber, and became the father of sons and daughters.",ሸላሕ ንዔበር ምስ ወለደ ድማ፡ ድሕሪኡ፡ ኣርባዕተ ሚእትን ሰለስተን ዓመት ገበረ፡ ኣወዳትን ኣዋልድን ከኣ ወለደ።,"['ሸላሕ', 'ንዔበር', 'ምስ', 'ወለደ', 'ድማ', 'ድሕሪኡ', 'ኣርባዕተ', 'ሚእትን', 'ሰለስተን', 'ዓመት', 'ገበረ', 'ኣወዳትን', 'ኣዋልድን', 'ከኣ', 'ወለደ']","['and', 'shelah', 'lived', 'four', 'hundred', 'three', 'years', 'after', 'he', 'became', 'the', 'father', 'of', 'eber', 'and', 'became', 'the', 'father', 'of', 'sons', 'and', 'daughters']"
426,"Eber lived thirty-four years, and became the father of Peleg.",ዔበር ድማ ሰላሳን ኣርባዕተን ዓመት ገበረ፡ ንፌለግ ከኣ ወለደ።,"['ዔበር', 'ድማ', 'ሰላሳን', 'ኣርባዕተን', 'ዓመት', 'ገበረ', 'ንፌለግ', 'ከኣ', 'ወለደ']","['eber', 'lived', 'thirty-four', 'years', 'and', 'became', 'the', 'father', 'of', 'peleg']"
427,"Eber lived four hundred thirty years after he became the father of Peleg, and became the father of sons and daughters.",ዔበር ንፌሌግ ምስ ወለደ ኸኣ፡ ድሕሪኡ ኣርባዕተ ሚእትን ሰላሳን ዓመት ገበረ፡ ኣወዳትን ኣዋልድን ድማ ወለደ።,"['ዔበር', 'ንፌሌግ', 'ምስ', 'ወለደ', 'ኸኣ', 'ድሕሪኡ', 'ኣርባዕተ', 'ሚእትን', 'ሰላሳን', 'ዓመት', 'ገበረ', 'ኣወዳትን', 'ኣዋልድን', 'ድማ', 'ወለደ']","['eber', 'lived', 'four', 'hundred', 'thirty', 'years', 'after', 'he', 'became', 'the', 'father', 'of', 'peleg', 'and', 'became', 'the', 'father', 'of', 'sons', 'and', 'daughters']"
428,"Peleg lived thirty years, and became the father of Reu.",ፌሌግ ከኣ ሰላሳ ዓመት ገበረ፡ ንረጉ ወለደ።,"['ፌሌግ', 'ከኣ', 'ሰላሳ', 'ዓመት', 'ገበረ', 'ንረጉ', 'ወለደ']","['peleg', 'lived', 'thirty', 'years', 'and', 'became', 'the', 'father', 'of', 'reu']"
429,"Peleg lived two hundred nine years after he became the father of Reu, and became the father of sons and daughters.",ፌሌግ ንረጉ ምስ ወለደ ድማ፡ ድሕሪኡ ክልተ ሚእትን ትሽዓተን ዓመት ገበረ፡ ኣወዳትን ኣዋልድን ከኣ ወለደ።,"['ፌሌግ', 'ንረጉ', 'ምስ', 'ወለደ', 'ድማ', 'ድሕሪኡ', 'ክልተ', 'ሚእትን', 'ትሽዓተን', 'ዓመት', 'ገበረ', 'ኣወዳትን', 'ኣዋልድን', 'ከኣ', 'ወለደ']","['peleg', 'lived', 'two', 'hundred', 'nine', 'years', 'after', 'he', 'became', 'the', 'father', 'of', 'reu', 'and', 'became', 'the', 'father', 'of', 'sons', 'and', 'daughters']"
430,"Reu lived thirty-two years, and became the father of Serug.",ረጉ ድማ ሰላሳን ክልተን ዓመት ገበረ፡ ንሴሩግ ከኣ ወለደ።,"['ረጉ', 'ድማ', 'ሰላሳን', 'ክልተን', 'ዓመት', 'ገበረ', 'ንሴሩግ', 'ከኣ', 'ወለደ']","['reu', 'lived', 'thirty-two', 'years', 'and', 'became', 'the', 'father', 'of', 'serug']"
431,"Reu lived two hundred seven years after he became the father of Serug, and became the father of sons and daughters.",ረጉ ንሴሩግ ምስ ወለደ ድማ፡ ድሕሪኡ ክልተ ሚእትን ሾብዓተን ዓመት ገበረ፡ ኣወዳትን ኣዋልድን ከኣ ወለደ።,"['ረጉ', 'ንሴሩግ', 'ምስ', 'ወለደ', 'ድማ', 'ድሕሪኡ', 'ክልተ', 'ሚእትን', 'ሾብዓተን', 'ዓመት', 'ገበረ', 'ኣወዳትን', 'ኣዋልድን', 'ከኣ', 'ወለደ']","['reu', 'lived', 'two', 'hundred', 'seven', 'years', 'after', 'he', 'became', 'the', 'father', 'of', 'serug', 'and', 'became', 'the', 'father', 'of', 'sons', 'and', 'daughters']"
432,"Serug lived thirty years, and became the father of Nahor.",ሴሩግ ድማ ሰላሳ ዓመት ገበረ፡ ንናሆር ከኣ ወለደ።,"['ሴሩግ', 'ድማ', 'ሰላሳ', 'ዓመት', 'ገበረ', 'ንናሆር', 'ከኣ', 'ወለደ']","['serug', 'lived', 'thirty', 'years', 'and', 'became', 'the', 'father', 'of', 'nahor']"
433,"Serug lived two hundred years after he became the father of Nahor, and became the father of sons and daughters.",ሴሩግ ንናሆር ምስ ወለደ ኸኣ፡ ድሕሪኡ ክልተ ምእቲ ዓመት ገበረ፡ ኣወዳትን ኣዋልድን ከኣ ወለደ።,"['ሴሩግ', 'ንናሆር', 'ምስ', 'ወለደ', 'ኸኣ', 'ድሕሪኡ', 'ክልተ', 'ምእቲ', 'ዓመት', 'ገበረ', 'ኣወዳትን', 'ኣዋልድን', 'ከኣ', 'ወለደ']","['serug', 'lived', 'two', 'hundred', 'years', 'after', 'he', 'became', 'the', 'father', 'of', 'nahor', 'and', 'became', 'the', 'father', 'of', 'sons', 'and', 'daughters']"
